"ID","Sex","BirthYear","Status","DeathYear","Year","PopSize","Age","Weight","Survival","UniqueExtractionID","SampleYear","qPCRPlate","qPCRRow","LowPurity","RTL","DateCollect","DateProc","Condition","Strongyles","Strongyloides","Coccidea","Nematodirus","Trichuris","Capillaria","Monezia","Person"
1077,"F",1983,"Dead",1999,1998,591,15,24.9,0,2067,1998,43,"D","0",2.83283697444205,"13-Aug-98","23-Aug-98",2,0,NA,0,0,0,0,2,"JGP"
1663,"F",1986,"Dead",2002,2001,651,15,25.3,0,3897,2001,83,"F","0",1.83531705779105,"08-Aug-01","19-Aug-01",3,0,NA,0,0,0,0,2,"BHC"
2066,"F",1988,"Dead",2001,1998,591,10,23.3,1,2335,1998,49,"C","0",1.60146937561501,"15-Aug-98","25-Aug-98",2,100,NA,200,0,0,0,2,"JGP"
2066,"F",1988,"Dead",2001,1999,325,11,20.9,1,3753,1999,78,"E","0",1.44756696893555,"12-Aug-99","24-Aug-99",3,100,NA,200,0,0,0,2,"JGP"
2071,"F",1988,"Dead",1998,1998,591,10,19.3,0,2329,1998,49,"E","0",1.73856813037875,"12-Aug-98","22-Aug-98",2,1400,NA,3600,0,0,0,2,"JGP"
2073,"F",1988,"Dead",1999,1998,591,10,23.1,0,4249,1998,90,"A","0",1.64483976115237,"12-Aug-98","22-Aug-98",1,0,NA,300,0,0,0,2,"JGP"
2163,"F",1989,"Dead",1999,1998,591,9,20.4,0,4231,1998,90,"G","0",2.34275131050144,"12-Aug-98","22-Aug-98",2,0,NA,6000,0,0,0,2,"JGP"
2168,"F",1989,"Dead",1999,1998,591,9,20.5,0,2448,1998,51,"E","0",1.76748861278863,"15-Aug-98","25-Aug-98",2,0,NA,100,0,0,0,2,"JGP"
2178,"F",1989,"Dead",1999,1998,591,9,26.5,0,2913,1998,82,"G","0",1.5872436760258,"12-Aug-98","22-Aug-98",2,0,NA,0,0,0,0,2,"JGP"
2223,"F",1990,"Dead",2002,1998,591,8,24,1,2547,1998,53,"A","0",1.84205571128234,"13-Aug-98","23-Aug-98",2,0,NA,0,0,0,0,2,"JGP"
2223,"F",1990,"Dead",2002,1999,325,9,23.9,1,3037,1999,63,"B","0",1.8184319186157,"10-Aug-99","23-Aug-99",2,100,NA,600,0,0,0,2,"JGP"
2223,"F",1990,"Dead",2002,2000,461,10,24,1,1919,2000,40,"G","0",2.19557650945009,"08-Aug-00","18-Aug-00",1.5,100,NA,300,0,0,0,2,"JGP"
2223,"F",1990,"Dead",2002,2001,651,11,23.7,0,390,2001,9,"B","0",2.09335766747807,"08-Aug-01","19-Aug-01",4,300,NA,100,0,0,0,2,"BHC"
2236,"F",1990,"Dead",1999,1998,591,8,24.3,0,2391,1998,50,"C","0",1.43770433846436,"15-Aug-98","25-Aug-98",2,0,NA,200,0,0,0,2,"JGP"
2260,"F",1990,"Dead",1999,1998,591,8,22.9,0,2291,1998,48,"F","0",1.55231602265594,"15-Aug-98","25-Aug-98",2,0,NA,300,0,0,0,2,"JGP"
2262,"F",1990,"Dead",2001,1998,591,8,22,1,2562,1998,53,"H","0",1.60676624546715,"15-Aug-98","25-Aug-98",1.5,0,NA,600,0,0,0,2,"JGP"
2262,"F",1990,"Dead",2001,1999,325,9,22.6,1,3794,1999,79,"G","0",1.80560862448042,"10-Aug-99","23-Aug-99",3,100,NA,600,0,0,0,2,"JGP"
2341,"F",1990,"Dead",2003,2001,651,11,25.3,1,928,2001,20,"A","0",1.64544107626136,"11-Aug-01","22-Aug-01",2,0,NA,100,0,0,0,2,"BHC"
2341,"F",1990,"Dead",2003,2002,335,12,25.6,1,2748,2002,57,"D","0",1.3502844777009,"16-Aug-02","25-Aug-02",2,0,NA,0,0,0,0,2,"JGP"
2341,"F",1990,"Dead",2003,2003,494,13,25.35,0,3354,2003,70,"B","0",2.00295337526179,"15-Aug-03","26-Aug-03",1,0,NA,0,0,0,0,2,"LT"
