"ID","Sex","BirthYear","Status","Year","Age","Weight","PopSize","Survival","UniqueExtractionID","qPCRPlate","qPCRRow","LowPurity","RTL","DateCollect","DateProc","Condition","Strongyles","Strongyloides","Coccidea","Nematodirus","Trichuris","Capillaria","Monezia","Person","DateCollect_dmy","MonthofCollection"
1077,"F",1983,"Dead",1998,15,24.9,591,0,2067,43,"D",0,2.83283697444205,"13-Aug-98","23-Aug-98",2,0,NA,0,0,0,0,2,"JGP","1998-08-13",8
1663,"F",1986,"Dead",2001,15,25.3,651,0,3897,83,"F",0,1.83531705779105,"08-Aug-01","19-Aug-01",3,0,NA,0,0,0,0,2,"BHC","2001-08-08",8
2066,"F",1988,"Dead",1998,10,23.3,591,1,2335,49,"C",0,1.60146937561501,"15-Aug-98","25-Aug-98",2,100,NA,200,0,0,0,2,"JGP","1998-08-15",8
2066,"F",1988,"Dead",1999,11,20.9,325,1,3753,78,"E",0,1.44756696893555,"12-Aug-99","24-Aug-99",3,100,NA,200,0,0,0,2,"JGP","1999-08-12",8
2071,"F",1988,"Dead",1998,10,19.3,591,0,2329,49,"E",0,1.73856813037875,"12-Aug-98","22-Aug-98",2,1400,NA,3600,0,0,0,2,"JGP","1998-08-12",8
2073,"F",1988,"Dead",1998,10,23.1,591,0,4249,90,"A",0,1.64483976115237,"12-Aug-98","22-Aug-98",1,0,NA,300,0,0,0,2,"JGP","1998-08-12",8
2163,"F",1989,"Dead",1998,9,20.4,591,0,4231,90,"G",0,2.34275131050144,"12-Aug-98","22-Aug-98",2,0,NA,6000,0,0,0,2,"JGP","1998-08-12",8
2168,"F",1989,"Dead",1998,9,20.5,591,0,2448,51,"E",0,1.76748861278863,"15-Aug-98","25-Aug-98",2,0,NA,100,0,0,0,2,"JGP","1998-08-15",8
2178,"F",1989,"Dead",1998,9,26.5,591,0,2913,82,"G",0,1.5872436760258,"12-Aug-98","22-Aug-98",2,0,NA,0,0,0,0,2,"JGP","1998-08-12",8
2223,"F",1990,"Dead",1998,8,24,591,1,2547,53,"A",0,1.84205571128234,"13-Aug-98","23-Aug-98",2,0,NA,0,0,0,0,2,"JGP","1998-08-13",8
2223,"F",1990,"Dead",1999,9,23.9,325,1,3037,63,"B",0,1.8184319186157,"10-Aug-99","23-Aug-99",2,100,NA,600,0,0,0,2,"JGP","1999-08-10",8
2223,"F",1990,"Dead",2000,10,24,461,1,1919,40,"G",0,2.19557650945009,"08-Aug-00","18-Aug-00",1.5,100,NA,300,0,0,0,2,"JGP","2000-08-08",8
